전술ID,전술명,전술 설명,기법ID,기법명,기법 설명,주요 사용 사례,MITRE 페이지
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1069,Permission Groups Discovery,공격자가 권한 그룹 탐색,관리자 그룹 멤버 확인,https://attack.mitre.org/techniques/T1069/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1057,Process Discovery,공격자가 프로세스 탐색,실행 중인 프로그램 목록 확인,https://attack.mitre.org/techniques/T1057/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1012,Query Registry,공격자가 레지스트리 조회,Windows 레지스트리에서 정보 추출,https://attack.mitre.org/techniques/T1012/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1018,Remote System Discovery,공격자가 원격 시스템 탐색,네트워크의 다른 컴퓨터 찾기,https://attack.mitre.org/techniques/T1018/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1518,Software Discovery,공격자가 소프트웨어 탐색,설치된 프로그램 목록 확인,https://attack.mitre.org/techniques/T1518/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1082,System Information Discovery,공격자가 시스템 정보 탐색,OS 버전이나 하드웨어 정보 수집,https://attack.mitre.org/techniques/T1082/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1016,System Network Configuration Discovery,공격자가 네트워크 설정 탐색,IP 주소나 DNS 설정 확인,https://attack.mitre.org/techniques/T1016/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1049,System Network Connections Discovery,공격자가 네트워크 연결 탐색,현재 네트워크 연결 상태 확인,https://attack.mitre.org/techniques/T1049/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1033,System Owner/User Discovery,공격자가 시스템 소유자 탐색,현재 로그인한 사용자 확인,https://attack.mitre.org/techniques/T1033/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1007,System Service Discovery,공격자가 시스템 서비스 탐색,실행 중인 서비스 확인,https://attack.mitre.org/techniques/T1007/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1124,System Time Discovery,공격자가 시스템 시간 탐색,시스템 시간대와 현재 시각 확인,https://attack.mitre.org/techniques/T1124/
TA0007,Discovery (탐색),공격자가 침해한 환경에 대해 더 알아가는 단계. 시스템과 네트워크에 대한 정보 수집,T1497,Virtualization/Sandbox Evasion,공격자가 가상환경 탐지,샌드박스 환경인지 확인,https://attack.mitre.org/techniques/T1497/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1210,Exploitation of Remote Services,공격자가 원격 서비스 취약점 악용,다른 컴퓨터의 보안 허점 이용,https://attack.mitre.org/techniques/T1210/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1534,Internal Spearphishing,공격자가 내부 스피어피싱,이미 침해한 계정으로 내부 직원 공격,https://attack.mitre.org/techniques/T1534/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1570,Lateral Tool Transfer,공격자가 도구를 측면 전송,해킹 도구를 다른 컴퓨터로 복사,https://attack.mitre.org/techniques/T1570/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1563,Remote Service Session Hijacking,공격자가 원격 서비스 세션 탈취,다른 사용자의 원격 세션 가로채기,https://attack.mitre.org/techniques/T1563/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1021,Remote Services,공격자가 원격 서비스 사용,RDP나 SSH로 다른 시스템 접근,https://attack.mitre.org/techniques/T1021/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1091,Replication Through Removable Media,공격자가 이동식 매체로 전파,USB로 다른 컴퓨터 감염,https://attack.mitre.org/techniques/T1091/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1072,Software Deployment Tools,공격자가 소프트웨어 배포 도구 악용,SCCM으로 네트워크 전체 감염,https://attack.mitre.org/techniques/T1072/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1080,Taint Shared Content,공격자가 공유 콘텐츠 오염,공유 폴더에 악성 파일 배치,https://attack.mitre.org/techniques/T1080/
TA0008,Lateral Movement (측면 이동),공격자가 네트워크 내 다른 시스템으로 이동하는 단계. 추가 시스템 장악으로 확산,T1550,Use Alternate Authentication Material,공격자가 대체 인증 자료 사용,패스더해시로 다른 시스템 접근,https://attack.mitre.org/techniques/T1550/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1557,Adversary-in-the-Middle,공격자가 중간자 공격,통신 중간에서 데이터 가로챔,https://attack.mitre.org/techniques/T1557/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1560,Archive Collected Data,공격자가 수집한 데이터 압축,유출 전 파일을 압축하고 암호화,https://attack.mitre.org/techniques/T1560/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1123,Audio Capture,공격자가 오디오 캡처,마이크로 대화 녹음,https://attack.mitre.org/techniques/T1123/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1119,Automated Collection,공격자가 자동 수집,스크립트로 자동으로 파일 수집,https://attack.mitre.org/techniques/T1119/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1185,Browser Session Hijacking,공격자가 브라우저 세션 탈취,로그인된 웹 세션 가로채기,https://attack.mitre.org/techniques/T1185/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1115,Clipboard Data,공격자가 클립보드 데이터 수집,복사한 내용 훔침,https://attack.mitre.org/techniques/T1115/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1530,Data from Cloud Storage,공격자가 클라우드 스토리지에서 데이터 수집,S3나 Blob Storage에서 파일 다운로드,https://attack.mitre.org/techniques/T1530/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1602,Data from Configuration Repository,공격자가 설정 저장소에서 데이터 수집,네트워크 장비 설정 추출,https://attack.mitre.org/techniques/T1602/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1213,Data from Information Repositories,공격자가 정보 저장소에서 데이터 수집,SharePoint나 Confluence에서 문서 수집,https://attack.mitre.org/techniques/T1213/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1005,Data from Local System,공격자가 로컬 시스템에서 데이터 수집,하드디스크에서 파일 복사,https://attack.mitre.org/techniques/T1005/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1039,Data from Network Shared Drive,공격자가 네트워크 공유 드라이브에서 데이터 수집,공유 폴더에서 문서 복사,https://attack.mitre.org/techniques/T1039/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1025,Data from Removable Media,공격자가 이동식 매체에서 데이터 수집,USB 드라이브에서 파일 복사,https://attack.mitre.org/techniques/T1025/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1074,Data Staged,공격자가 데이터를 준비,유출 전 한 곳에 모음,https://attack.mitre.org/techniques/T1074/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1114,Email Collection,공격자가 이메일 수집,받은편지함이나 PST 파일 복사,https://attack.mitre.org/techniques/T1114/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1056,Input Capture,공격자가 입력 캡처,키로거나 폼 탈취,https://attack.mitre.org/techniques/T1056/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1113,Screen Capture,공격자가 화면 캡처,스크린샷 찍어서 저장,https://attack.mitre.org/techniques/T1113/
TA0009,Collection (수집),공격자가 목표 정보를 모으는 단계. 유출할 데이터 수집 및 집합,T1125,Video Capture,공격자가 비디오 캡처,웹캠으로 녹화,https://attack.mitre.org/techniques/T1125/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1071,Application Layer Protocol,공격자가 애플리케이션 계층 프로토콜 사용,HTTP나 DNS로 명령 전달,https://attack.mitre.org/techniques/T1071/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1092,Communication Through Removable Media,공격자가 이동식 매체로 통신,USB로 명령 전달,https://attack.mitre.org/techniques/T1092/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1132,Data Encoding,공격자가 데이터 인코딩,통신 내용을 인코딩하여 숨김,https://attack.mitre.org/techniques/T1132/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1001,Data Obfuscation,공격자가 데이터 난독화,통신 패턴을 감추기 위해 변조,https://attack.mitre.org/techniques/T1001/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1568,Dynamic Resolution,공격자가 동적 해석 사용,DGA로 C2 서버 주소 변경,https://attack.mitre.org/techniques/T1568/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1573,Encrypted Channel,공격자가 암호화 채널 사용,SSL/TLS로 통신 암호화,https://attack.mitre.org/techniques/T1573/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1008,Fallback Channels,공격자가 대체 채널 사용,주 채널 차단 시 백업 채널로 전환,https://attack.mitre.org/techniques/T1008/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1105,Ingress Tool Transfer,공격자가 도구 전송,C2 서버에서 추가 도구 다운로드,https://attack.mitre.org/techniques/T1105/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1104,Multi-Stage Channels,공격자가 다단계 채널 사용,여러 서버를 거쳐 통신,https://attack.mitre.org/techniques/T1104/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1095,Non-Application Layer Protocol,공격자가 비애플리케이션 계층 프로토콜 사용,ICMP나 커스텀 프로토콜로 통신,https://attack.mitre.org/techniques/T1095/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1571,Non-Standard Port,공격자가 비표준 포트 사용,일반적이지 않은 포트로 통신,https://attack.mitre.org/techniques/T1571/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1572,Protocol Tunneling,공격자가 프로토콜 터널링,허용된 프로토콜 안에 명령 숨김,https://attack.mitre.org/techniques/T1572/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1090,Proxy,공격자가 프록시 사용,중간 서버를 통해 통신,https://attack.mitre.org/techniques/T1090/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1219,Remote Access Software,공격자가 원격 접근 소프트웨어 사용,TeamViewer 같은 정상 도구 악용,https://attack.mitre.org/techniques/T1219/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1205,Traffic Signaling,공격자가 트래픽 신호 사용,특정 패킷으로 백도어 활성화,https://attack.mitre.org/techniques/T1205/
TA0010,Command and Control (명령 및 제어),공격자가 침해한 시스템과 통신하는 단계. 원격 제어를 위한 통신 채널 구축,T1102,Web Service,공격자가 웹 서비스 사용,트위터나 Pastebin으로 명령 전달,https://attack.mitre.org/techniques/T1102/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1020,Automated Exfiltration,공격자가 자동 유출,스크립트로 자동으로 데이터 전송,https://attack.mitre.org/techniques/T1020/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1030,Data Transfer Size Limits,공격자가 데이터 전송 크기 제한,작은 조각으로 나눠서 탐지 회피,https://attack.mitre.org/techniques/T1030/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1048,Exfiltration Over Alternative Protocol,공격자가 대체 프로토콜로 유출,FTP나 SMTP로 데이터 전송,https://attack.mitre.org/techniques/T1048/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1041,Exfiltration Over C2 Channel,공격자가 C2 채널로 유출,명령 채널을 통해 데이터 전송,https://attack.mitre.org/techniques/T1041/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1011,Exfiltration Over Other Network Medium,공격자가 다른 네트워크 매체로 유출,블루투스나 Wi-Fi로 전송,https://attack.mitre.org/techniques/T1011/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1052,Exfiltration Over Physical Medium,공격자가 물리 매체로 유출,USB에 복사해서 반출,https://attack.mitre.org/techniques/T1052/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1567,Exfiltration Over Web Service,공격자가 웹 서비스로 유출,Dropbox나 Google Drive에 업로드,https://attack.mitre.org/techniques/T1567/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1029,Scheduled Transfer,공격자가 예약 전송,특정 시간에만 데이터 전송,https://attack.mitre.org/techniques/T1029/
TA0011,Exfiltration (유출),공격자가 데이터를 네트워크 밖으로 빼내는 단계. 훔친 정보를 외부로 전송,T1537,Transfer Data to Cloud Account,공격자가 클라우드 계정으로 전송,자신의 클라우드 스토리지로 복사,https://attack.mitre.org/techniques/T1537/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1531,Account Access Removal,공격자가 계정 접근 제거,비밀번호 변경으로 사용자 차단,https://attack.mitre.org/techniques/T1531/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1485,Data Destruction,공격자가 데이터 파괴,파일 삭제나 디스크 포맷,https://attack.mitre.org/techniques/T1485/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1486,Data Encrypted for Impact,공격자가 데이터 암호화,랜섬웨어로 파일 암호화,https://attack.mitre.org/techniques/T1486/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1565,Data Manipulation,공격자가 데이터 조작,파일 내용을 몰래 변경,https://attack.mitre.org/techniques/T1565/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1491,Defacement,공격자가 웹사이트 변조,홈페이지를 해킹 메시지로 변경,https://attack.mitre.org/techniques/T1491/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1561,Disk Wipe,공격자가 디스크 삭제,하드디스크 전체 삭제,https://attack.mitre.org/techniques/T1561/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1499,Endpoint Denial of Service,공격자가 엔드포인트 서비스 거부,특정 시스템의 자원 고갈,https://attack.mitre.org/techniques/T1499/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1657,Financial Theft,공격자가 금융 절도,은행 계좌나 암호화폐 탈취,https://attack.mitre.org/techniques/T1657/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1495,Firmware Corruption,공격자가 펌웨어 손상,BIOS나 UEFI 파괴하여 부팅 불가,https://attack.mitre.org/techniques/T1495/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1490,Inhibit System Recovery,공격자가 시스템 복구 방해,백업이나 복원 지점 삭제,https://attack.mitre.org/techniques/T1490/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1498,Network Denial of Service,공격자가 네트워크 서비스 거부,DDoS 공격으로 서비스 마비,https://attack.mitre.org/techniques/T1498/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1496,Resource Hijacking,공격자가 자원 탈취,시스템으로 암호화폐 채굴,https://attack.mitre.org/techniques/T1496/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1489,Service Stop,공격자가 서비스 중지,중요 서비스나 프로세스 종료,https://attack.mitre.org/techniques/T1489/
TA0040,Impact (영향),공격자가 시스템과 데이터를 조작하거나 파괴하는 단계. 가용성과 무결성 훼손,T1529,System Shutdown/Reboot,공격자가 시스템 종료/재시작,컴퓨터를 강제로 종료하거나 재시작,https://attack.mitre.org/techniques/T1529/
